Nh,Estimated Time (s),Estimated Energy (J)
10,2.141672364197755e-06,6.669097440546654e-05
15,1.936306392783749e-06,6.430979438467667e-05
24,1.882338831651693e-06,6.715408647118542e-05
38,2.0073907983453386e-06,7.655281510760887e-05
60,2.3416804025429738e-06,9.511317722081174e-05
94,2.973697777041626e-06,0.00012810596069332472
147,4.11252480197069e-06,0.00018728407559992423
230,6.2019747456556825e-06,0.0002976689661385123
361,1.0234702361812716e-05,0.0005162971303451665
565,1.8360532870012232e-05,0.0009701773536533129
885,3.5956731498496236e-05,0.001984183311123046
1387,7.68703705747555e-05,0.004416451000458939
2171,0.00017881273733274264,0.010661918361572792
3400,0.00045403339655493636,0.028010773265601252
5324,0.0012567927846714186,0.07997514484834456
8337,0.003793824028370708,0.2482457140917808
13055,0.012487858870342422,0.8376522945123285
20442,0.04481738981504047,3.072210510335103
32008,0.17537590527429173,12.247885286166865
50118,0.7483236455117331,53.07942115071691
50118,0.7483236455117331,53.07942115071691
69893,2.3213983169524726,166.23533099075027
97472,7.552942109857896,545.1161079846811
135934,25.773639168590986,1871.586344547102
189572,92.23868447696903,6727.75991322193
264374,346.2020661361547,25320.503237958037
368692,1362.8027212120392,99775.29479157306
514173,5626.31417802799,411645.5332251835
717058,24361.154736819677,1778151.4541095258
1000000,110626.74277568255,8042007.942409836
